Name,MODEL,Classification,HUB_THICKNESS,DIAMETER,Direction,Performance_File,SHAFT_DIAMETER,PITCH,WEIGHT,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_DIAMETER,CREO_PITCH,CREO_HUB_THICKNESS,CREO_SHAFT_DIAMETER,CREO_WEIGHT,CREO_PROP_OFFSET,CREO_PTC_MATERIAL_NAME
apc_propellers_5x3,apc_propellers_5x3,Propeller,8.13,127.0,1.0,PER3_5x3.dat,4.76,76.2,0.005940000000000001,28665.08517656165,8.82429534069731e-09,0.9361192966845362,0.0,0.0,0.0,0.9361193541175546,0.0,0.0,0.0,1.832249035931257,0.8379654001845361,0.0,0.0,0.0,0.8379654576175546,0.0,0.0,0.0,1.832249035931257,,,127.0,76.2,8.13,4.76,0.005940000000000001,0.0,AIR_STP_TABLE
apc_propellers_15x4E,apc_propellers_15x4E,Propeller,11.43,381.0,1.0,PER3_15x4E.dat,6.35,101.6,0.045,241864.14746021328,4.375575273143748e-07,5197.927219410749,0.0,0.0,0.0,5197.927547281721,0.0,0.0,0.0,10346.206765330373,5196.457464285749,0.0,0.0,0.0,5196.457792156721,0.0,0.0,0.0,10346.206765330373,,,381.0,101.6,11.43,6.35,0.045,0.0,AIR_STP_TABLE
apc_propellers_13x5_5EP,apc_propellers_13x5_5EP,Propeller,10.16,330.2,-1.0,PER3_13x55E.dat,6.35,139.7,0.03402,181945.9880569341,2.6113729447870756e-08,155.6063345241827,0.0,0.0,0.0,155.60634433362168,0.0,0.0,0.0,309.6497394458877,154.72840079618268,0.0,0.0,0.0,154.72841060562166,0.0,0.0,0.0,309.6497394458877,,,330.2,139.7,10.16,6.35,0.03402,0.0,AIR_STP_TABLE
apc_propellers_13x4EP,apc_propellers_13x4EP,Propeller,10.16,330.2,-1.0,PER3_13x4E.dat,6.35,101.6,0.02998,181945.9880569341,3.4471052424615255e-08,205.40590058930397,0.0,0.0,0.0,205.40591353811263,0.0,0.0,0.0,408.7486784687499,204.63222471730396,0.0,0.0,0.0,204.63223766611262,0.0,0.0,0.0,408.7486784687499,,,330.2,101.6,10.16,6.35,0.02998,0.0,AIR_STP_TABLE
apc_propellers_9x4_6SF,apc_propellers_9x4_6SF,Propeller,4.06,228.6,1.0,PER3_9x46SF.dat,5.5,116.84,0.0049900000000000005,85025.00919614294,5.737510060001006e-09,3.1279060963269236,0.0,0.0,0.0,3.127906293948177,0.0,0.0,0.0,6.245312103337343,3.1073428053269234,0.0,0.0,0.0,3.107343002948177,0.0,0.0,0.0,6.245312103337343,,,228.6,116.84,4.06,5.5,0.0049900000000000005,0.0,AIR_STP_TABLE
apc_propellers_5_5x4_5EP,apc_propellers_5_5x4_5EP,Propeller,7.62,139.7,-1.0,PER3_55x45E.dat,6.35,114.3,0.0039900000000000005,34088.745656284176,2.3958299890832916e-08,3.467271247971805,0.0,0.0,0.0,3.46727145910569,0.0,0.0,0.0,6.826445589292412,3.4093520089718052,0.0,0.0,0.0,3.4093522201056903,0.0,0.0,0.0,6.826445589292412,,,139.7,114.3,7.62,6.35,0.0039900000000000005,0.0,AIR_STP_TABLE
apc_propellers_11x4_7SF,apc_propellers_11x4_7SF,Propeller,7.37,279.4,1.0,PER3_11x47SF.dat,6.35,119.38,0.01501,129175.99494933273,1.2877787612750002e-07,284.96527402689105,0.0,0.0,0.0,284.96529200167834,0.0,0.0,0.0,567.8245059107625,284.76144985964106,0.0,0.0,0.0,284.76146783442834,0.0,0.0,0.0,567.8245059107625,,,279.4,119.38,7.37,6.35,0.01501,0.0,AIR_STP_TABLE
apc_propellers_18_1x10,apc_propellers_18_1x10,Propeller,19.56,459.74,1.0,PER3_181x10.dat,7.94,254.0,0.13294999999999998,360644.5724205905,2.943761035193851e-07,12748.579330864726,0.0,0.0,0.0,12748.580131091094,0.0,0.0,0.0,25253.432962597435,12735.862876084726,0.0,0.0,0.0,12735.863676311094,0.0,0.0,0.0,25253.432962597435,,,459.74,254.0,19.56,7.94,0.13294999999999998,0.0,AIR_STP_TABLE
apc_propellers_13x6_5EP,apc_propellers_13x6_5EP,Propeller,10.41,330.2,-1.0,PER3_13x65E.dat,6.35,165.1,0.02998,182210.31380882545,9.235871291819502e-09,56.40296166134198,0.0,0.0,0.0,56.402965216100995,0.0,0.0,0.0,112.21133060916165,55.59074275184199,0.0,0.0,0.0,55.59074630660099,0.0,0.0,0.0,112.21133060916165,,,330.2,165.1,10.41,6.35,0.02998,0.0,AIR_STP_TABLE
apc_propellers_8_75x8_75NN,apc_propellers_8_75x8_75NN,Propeller,14.48,222.25,1.0,PER3_875x875NN.dat,6.35,222.25,0.02495,87925.31810915908,2.7998608169841596e-08,49.65421029893962,0.0,0.0,0.0,49.65421336601678,0.0,0.0,0.0,97.11172938535151,48.34639117893961,0.0,0.0,0.0,48.34639424601678,0.0,0.0,0.0,97.11172938535151,,,222.25,222.25,14.48,6.35,0.02495,0.0,AIR_STP_TABLE
